objectid,image_thumb,image_small,object_location,cdmid,collectionid,format,title,description,url
campushistory001,https://objects.lib.uidaho.edu/campushistory/thumbs/campushistory001_th.jpg,https://objects.lib.uidaho.edu/campushistory/small/campushistory001_sm.jpg,https://objects.lib.uidaho.edu/campushistory/campushistory001.jpg,10,spec_uihp,image/jpeg,Administration Building 1906,Dynamiting of walls of the Administration Building (1892-1906) after fire.,https://www.lib.uidaho.edu/digital/uihistorical/items/spec_uihp10.html
campushistory002,https://objects.lib.uidaho.edu/campushistory/thumbs/campushistory002_th.jpg,https://objects.lib.uidaho.edu/campushistory/small/campushistory002_sm.jpg,https://objects.lib.uidaho.edu/campushistory/campushistory002.jpg,173,pg1,image/jpeg,"'I' Bench, University of Idaho",1961 photograph of the I Bench. Students on bench and in background next to Administration Building.,https://www.lib.uidaho.edu/digital/campus/
campushistory003,https://objects.lib.uidaho.edu/campushistory/thumbs/campushistory003_th.jpg,https://objects.lib.uidaho.edu/campushistory/small/campushistory003_sm.jpg,https://objects.lib.uidaho.edu/campushistory/campushistory003.jpg,1231,pg1,image/jpeg,"Administration Building, University of Idaho (1892-1906)",1900 photograph of Administration Building.  View of the old Administration and lawn.,https://www.lib.uidaho.edu/digital/campus/
campushistory004,https://objects.lib.uidaho.edu/campushistory/thumbs/campushistory004_th.jpg,https://objects.lib.uidaho.edu/campushistory/small/campushistory004_sm.jpg,https://objects.lib.uidaho.edu/campushistory/campushistory004.jpg,12,spec_uihp,image/jpeg,Commencement 1926,"Band concert, commencement 1926",https://www.lib.uidaho.edu/digital/uihistorical/items/spec_uihp12.html
campushistory005,https://objects.lib.uidaho.edu/campushistory/thumbs/campushistory005_th.jpg,https://objects.lib.uidaho.edu/campushistory/small/campushistory005_sm.jpg,https://objects.lib.uidaho.edu/campushistory/campushistory005.jpg,253,pg2,image/jpeg,Group picture at house party outside Kappa Sigma house,Students pose for a photograph outside the Kappa Sigma house before a formal dance.,https://www.lib.uidaho.edu/digital/pg2/
campushistory006,https://objects.lib.uidaho.edu/campushistory/thumbs/campushistory006_th.jpg,https://objects.lib.uidaho.edu/campushistory/small/campushistory006_sm.jpg,https://objects.lib.uidaho.edu/campushistory/campushistory006.jpg,71,pg2,image/jpeg,Kappa Sigma House,Kappa Sigma house on the northeast corner of Blake and Sweet Avenues.,https://www.lib.uidaho.edu/digital/pg2/
campushistory007,https://objects.lib.uidaho.edu/campushistory/thumbs/campushistory007_th.jpg,https://objects.lib.uidaho.edu/campushistory/small/campushistory007_sm.jpg,https://objects.lib.uidaho.edu/campushistory/campushistory007.jpg,676,pg2,image/jpeg,Pep band trombone and clarinet,Two unidentified members of the Pep band play together. One plays the trombone and the other the clarinet.,https://www.lib.uidaho.edu/digital/pg2/
campushistory008,https://objects.lib.uidaho.edu/campushistory/thumbs/campushistory008_th.jpg,https://objects.lib.uidaho.edu/campushistory/small/campushistory008_sm.jpg,https://objects.lib.uidaho.edu/campushistory/campushistory008.jpg,489,pg2,image/jpeg,Majorette Bonese Collins and Drum Major Stanley Blackwell at Homecoming,Majorette Bonese Collins and Drum Major Stanley Blackwell stand next to each other before the Homecoming football game.,https://www.lib.uidaho.edu/digital/pg2/
campushistory009,https://objects.lib.uidaho.edu/campushistory/thumbs/campushistory009_th.jpg,https://objects.lib.uidaho.edu/campushistory/small/campushistory009_sm.jpg,https://objects.lib.uidaho.edu/campushistory/campushistory009.jpg,66,pg2,image/jpeg,Alpha Tau Omega Dance,Group picture of Alpha Tau Omega at their tin can dance.,https://www.lib.uidaho.edu/digital/pg2/
campushistory010,https://objects.lib.uidaho.edu/campushistory/thumbs/campushistory010_th.jpg,https://objects.lib.uidaho.edu/campushistory/small/campushistory010_sm.jpg,https://objects.lib.uidaho.edu/campushistory/campushistory010.jpg,1733,pg2,image/jpeg,Beauty and the Beast' drama production,Ron Ravneberg and Janna McGee finish their dance as Prince Armand and Beauty in Idaho drama's production of 'Beauty and the Beast.',https://www.lib.uidaho.edu/digital/pg2/
campushistory011,https://objects.lib.uidaho.edu/campushistory/thumbs/campushistory011_th.jpg,https://objects.lib.uidaho.edu/campushistory/small/campushistory011_sm.jpg,https://objects.lib.uidaho.edu/campushistory/campushistory011.jpg,2529,pg2,image/jpeg,Vandal mascot Empire the dog,"A member of the pep squad stands with the Vandal mascot, Empire the dog.",https://www.lib.uidaho.edu/digital/pg2/
campushistory012,https://objects.lib.uidaho.edu/campushistory/thumbs/campushistory012_th.jpg,https://objects.lib.uidaho.edu/campushistory/small/campushistory012_sm.jpg,https://objects.lib.uidaho.edu/campushistory/campushistory012.jpg,1503,pg2,image/jpeg,University of Idaho ski team,Members of the University of Idaho Ski team hold their skis while posing for a group photograph.,https://www.lib.uidaho.edu/digital/pg2/
